id,name,faction,raw_faction,attack,armor,health,raw_health,cost,raw_type,type,sub_types,card_effect,flavor_text
absolution-sphere,Absolution Sphere,neogenesis-church,Neogenesis Church,,,,,4,Colony-Facility,colony,facility,D: Flip all D who work Absolution Sphere.,"The first thing to enter the sphere was a young girl, gov-drafted, told nothing. Six days later it spat her out, babbling like a newborn."
acid-baptists,Acid Baptists,neogenesis-church,Neogenesis Church,1,1,5,ddddd,3,Unit-Human,unit,human,"During your growth phase, you may flip a D in your colony.","Bathed in a river of memetic nanites, they bring the flock to pasture."
ascetic-virtues,Ascetic Virtues,neogenesis-church,Neogenesis Church,,,,,1,Reflex,reflex,,Discard a card: Flip a D on your Citadel. Anyone may use this ability so long as this Reflex is in play.,Worldly distractions are psychic anchors. -Zen Gospel Scripture
clinical-immortality,Clinical Immortality,neogenesis-church,Neogenesis Church,,,,,4,Augment-Unit,augment,unit,Choose a unit in a scrap and place it in the back of target lane. Attach this card. Add one health from your Citadel. This unit gains Resilient (Restore one health from the Creche during your growth phase.).,Humanity is shed as easily as an old skin.
crechling-prophet,Crechling Prophet,neogenesis-church,Neogenesis Church,0,1,1,t,3,Colony-Facility,colony,facility,"Other units in this lane gain +1 Attack. If this unit is scrapped, you may immediately restore any number of units with citizens from your Citadel.",Her scars are fire in the hearts of the faithful.
desertion,Desertion,neogenesis-church,Neogenesis Church,,,,,2,Reflex,reflex,,Remove 1 health from target unit and place it on its controller’s Citadel.,
deva-monks,Deva Monks,neogenesis-church,Neogenesis Church,0,2,5,ddddd,4,Unit-Human,unit,human,"Each time you score an Echo, you may flip a D on this unit.
This unit has +1 attack for each T on it.",The language of angels can be sharpened.
gravelinks,Gravelinks,neogenesis-church,Neogenesis Church,,,,,2,Augment-Unit,augment,unit,This unit gains +1 Attack for every unit in your scrap.,Memory augs provide immortality in the barracks - long dead soldiers train the living
halo-lift,Halo Lift,neogenesis-church,Neogenesis Church,,,,,3,Colony-Facility,colony,facility,D: Move target unit you control (may not be used during combat).,"You pray the lift puts you on the ground rightside up, outside-in - altogether the same you were before you got in the damn thing."
holy-day,Holy Day,neogenesis-church,Neogenesis Church,,,,,3,Reflex,reflex,,"Each faction must add a T to Holy Day during their Growth phase. Return a T to their Citadel if they skip their Combat phase. When Holy Day is scrapped, you must skip your combat phase unless you scrap all T on it. ",
house-of-meditation,House of Meditation,neogenesis-church,Neogenesis Church,,,,,3,Colony-Facility,colony,facility,D: Draw a card (you may exceed 8 cards).,"Mind and matter are one and the same here - we can coax Apsyntion if we listen.
-Chimera Handler Lenaius"
hymn-of-knitting,Hymn of Knitting,neogenesis-church,Neogenesis Church,,,,,2,Augment-Unit,augment,unit,Units adjacent to this one restore one health from the Creche during your   growth phase.,"Zen Gospel clerics form the backbone of nanite-infused troops, their song rippling over the battlefield like a soothing mist."
inquisitors,Inquisitors,neogenesis-church,Neogenesis Church,2,1,3,ttt,3,Unit-Human,unit,human,This unit’s breach value is doubled.,"Brutal? Yes. Necessary? Absolutely. We will not be slaves to artificial masters.
-Order Priest Gruman"
jetleap-seraphim,Jetleap Seraphim,neogenesis-church,Neogenesis Church,2,1,4,dddd,3,Unit-Human,unit,human,Airborne (Each airborne unit may move during your move phase),"Shock troops. That’s just what the       church needs.
-Neogenesis detractor"
library-of-the-ark,Library of the Ark,neogenesis-church,Neogenesis Church,,,,,3,Colony-Facility,colony,facility,"T: Choose a non-reflex card in your scrap and add it to your hand, then discard a card.","Waste not, want not."
maestra-sangha,Maestra Sangha,neogenesis-church,Neogenesis Church,1,1,3,ttt,4,Unit-Human,unit,human,"During combat, other units in this lane gain +1 Attack for each non-human unit your opponent controls.",Fanaticism inspires feats of strength where adrenaline fades.
messenger-ferry,Messenger Ferry,neogenesis-church,Neogenesis Church,0,1,2,dd,2,Unit-Antigrav,unit,antigrav,"Airborne (Each airborne unit may move during your move phase)
During your movement phase, you may give another player control of this unit, as if it were just forged. They must give you an Echo from their hand if possible. Score it.",
miraculous-escape,Miraculous Escape,neogenesis-church,Neogenesis Church,,,,,1,Reflex,reflex,,"Target a unit in a battle that would be scrapped. At the end of the battle phase, return it to the back of its lane with     one health.",
neogenesis-chapel,Neogenesis Chapel,neogenesis-church,Neogenesis Church,,,,,4,Colony-Facility,colony,facility,"T: Draw a card from your deck. If it is an echo, score it. If not, discard it.","Sermons drive the faithful towards great works, and stir suspicion of reformation."
pious-devotion,Pious Devotion,neogenesis-church,Neogenesis Church,,,,,3,Augment-Unit,augment,unit,"If this unit deals lethal combat damage, place a T on your Citadel.","Creche workers respect pious genes, and sometimes a splicer will make an exception for a war hero."
relic-seekers,Relic Seekers,neogenesis-church,Neogenesis Church,1,1,3,ddd,2,Unit- Human,unit, human,"During your draw phase, you may put one non-echo card from your hand at the bottom of your deck before drawing.",
seraphim-choir,Seraphim Choir,neogenesis-church,Neogenesis Church,1,0,3,ddd,6,Unit-human,unit,human,"Squad (This unit gets +1 Attack for every health on it.)
Airborne (Each airborne unit may move during your move phase)",Angels of an entirely new order.
symmetric-supplication,Symmetric Supplication,neogenesis-church,Neogenesis Church,,,,,2,Reflex,reflex,,Flip the citizens used for this reflex.,"To master the self, you must first master your fear of the other."
terra-ascetics,Terra Ascetics,neogenesis-church,Neogenesis Church,1,0,5,ddddd,2,Unit-human,unit,human,Each time you lose an echo you may flip a D in your colony.,Material possessions are the shackles of the spirit.
terra-colossus,Terra Colossus,neogenesis-church,Neogenesis Church,,,,,3,Colony-Facility,colony,facility,"When you score an Echo, you may place a D here from the Creche.
T: Add any amount of health to target units using D from this facility (you may do this at any time, so long as there are no T here).",
theocracy,Theocracy,neogenesis-church,Neogenesis Church,,,,,2,augment-facility,augment,facility,You may move an additional citizen from this facility to your Citadel during your upkeep.,"A man driven by faith will work until his hands bleed, and his legs fail him."
trench-judges,Trench Judges,neogenesis-church,Neogenesis Church,2,1,3,ttt,3,Unit-human,unit,human,Slavelink (This unit gains +1 Attack for every other unit you control in the lane.),Thousands of years of superstition only to find out we were right all along.
webweave-cherubs,Webweave Cherubs,neogenesis-church,Neogenesis Church,2,1,4,dddd,3,Unit-human,unit,human,"If this unit is in an attack, all units in the enemy lane are Slow (If this unit takes lethal combat damage, it does not deal damage in return.)",
white-bishops,White bishops,neogenesis-church,Neogenesis Church,1,2,3,ttt,3,Unit-human,unit,human,Units adjacent to this one gain +1 Armor.,"We hear you. Your song is our own. Let us partake in choir.
-Hymns, 24:36"
zealotry,Zealotry,neogenesis-church,Neogenesis Church,,,,,2,Reflex,reflex,,"Your Human units gain +1 Attack.
You may scrap any number of D from your Citadel to deal the same amount of damage to target non-human unit.",
acid-husks,Acid Husks,cult-of-apsynthos,Cult of Apsynthos,3,0,5,ddddd,4,Unit-xeno,unit,xeno,"You may scrap a health token from this unit to have it gain Splash (When this unit deals combat damage, deal the same damage to the next enemy unit.) until end of phase.",
apsyntion-preserve,Apsyntion Preserve,cult-of-apsynthos,Cult of Apsynthos,,,,,4,colony-facility,colony,facility,T: Units in target lane gain +1 Armor until the end of phase.,"If it were up to me, I’d take the flamers to that swamp. But it’s not up to me.
-General Takei, Dominion Holonet"
blister-plates,Blister Plates,cult-of-apsynthos,Cult of Apsynthos,,,,,2,augment-unit,augment,unit,"This unit gains +1 Attack when attacking, +2 Attack when defending.",
boreworm-larvae,Boreworm Larvae,cult-of-apsynthos,Cult of Apsynthos,3,1,1,d,4,Unit-xeno,unit,xeno,"Forge as an augment on target unit. During that unit’s upkeep, add 1 health from it to Boreworm Larvae.
If the attached unit is scrapped, Boreworm Larvae moves to the back of any lane its owner controls.",
carrier,Carrier,cult-of-apsynthos,Cult of Apsynthos,,,,,4,augment-unit,augment,unit,This unit and adjacent units have a maximum Attack value of 1. They gain Pierce (This unit ignores Armor when in combat.),
chimera-guild,Chimera Guild,cult-of-apsynthos,Cult of Apsynthos,,,,,4,colony-facility,colony,facility,D: Each unit in target lane may restore one health from your Citadel.,"Our race has existed too long - resisting entropy, forgetting our humanity. Now chimera are bred to feel for us."
elder-hybrids,Elder Hybrids,cult-of-apsynthos,Cult of Apsynthos,3,0,4,dddd,3,unit-Chimera,unit,chimera,Units adjacent to Elder Hybrid must add one health to it during your upkeep.,"The first tests were crude, and cruel, leaving these creatures in a dream of vengeance."
endospexi,Endospexi,cult-of-apsynthos,Cult of Apsynthos,1,0,5,ddddd,2,Unit-Chimera,unit,chimera,You may scrap a health from this unit to look at an opponent’s hand or target card in their Forge.,"The endospexi are a relic of tribal colonies, sacrificing to the Lilin out of brutal necessity."
fungal-bloom,Fungal Bloom,cult-of-apsynthos,Cult of Apsynthos,,,,,3,reflex,reflex,,Scrap all citizens on target facility.,
gene-speakers,Gene Speakers,cult-of-apsynthos,Cult of Apsynthos,1,0,4,dddd,3,Unit-Chimera,unit,chimera,"Pierce (This unit ignores Armor when in combat.)
Adjacent units restore one health from the Creche during your growth phase.","A whisper in the ear, then through the heart."
grendels,Grendels,cult-of-apsynthos,Cult of Apsynthos,3,2,2,dd,5,Unit-xeno,unit,xeno,,The grendel was thought to be the largest living thing on Apsyntion during the first expeditions - before the behemoths crushed the notion.
haruspexi,Haruspexi,cult-of-apsynthos,Cult of Apsynthos,2,0,4,dddd,3,Unit-Chimera,unit,chimera,Scrap 1 health from an adjacent unit: Look at an opponent’s entire hand or one card in their Forge.,"Once lost traditions rooted in superstition, divination is now free to evolve like any other technology."
herdmasters,Herdmasters,cult-of-apsynthos,Cult of Apsynthos,2,1,2,dd,3,Unit-Chimera,unit,chimera,Adjacent units gain +1 Attack and +1 Armor.,"It is unholy. I will not stand, idle and petulant, as our flock is converted one by one into beasts by our own hand!
-Provincar Jian, ‘Once more unto the breach’"
hyphal-warning,Hyphal Warning,cult-of-apsynthos,Cult of Apsynthos,,,,,3,augment-unit,augment,unit,This unit and all units in front of it have +1 Armor.,
mosaic-mutation,Mosaic Mutation,cult-of-apsynthos,Cult of Apsynthos,,,,,2,reflex,reflex,,Scrap target unit and replace it with a unit from your hand. Health from the scrapped unit is added to the new one.,"The genetic change is almost imperceptible - we are two monsters from the same tree.
-Brood Experimentation Log"
mycandrium,Mycandrium,cult-of-apsynthos,Cult of Apsynthos,,,,,3,colony-facility,colony,facility,"If a unit you control loses health, you may add it to Mycandrium. Citizens do not leave Mycandrium during your upkeep.

You may use tokens from Mycandrium rather than your Citadel when adding Health to units.",
mycologists,Mycologists,cult-of-apsynthos,Cult of Apsynthos,1,0,3,ddd,2,unit-human,unit,human,All units in this lane gain Resilient (Restore one health from the Creche during your growth phase.),"At Apsynthos Crater, the spore mats have so much neurological activity you can see electrical arcs at twilight. These will be our children’s diplomats."
orthogenesis,Orthogenesis,cult-of-apsynthos,Cult of Apsynthos,,,,,2,reflex,reflex,,"Choose a unit in your scrap and add it to a lane as if it were just forged. Attach this card.
Scrap this unit during your upkeep.","<Die. Sleep. Always within the embrace. Wake, human.>
-Promethea Datalog"
plague-spores,Plague Spores,cult-of-apsynthos,Cult of Apsynthos,,,,,2,reflex,reflex,,All units have 0 Armor.,"Civvies see the datanet holos coming back from the front, and they say it looks like paradise. They don’t understand that when a ‘snowflake’ roots in your lungs, you’d tear your own chest open to get it out."
planet-plague,Planet Plague,cult-of-apsynthos,Cult of Apsynthos,,,,,2,augment-unit,augment,unit,"Scrap 1 citizen from your Citadel at the end of your growth phase. If this unit deals non-lethal combat damage, attach this augment to the damaged unit.",
rot-midden,Rot Midden,cult-of-apsynthos,Cult of Apsynthos,,,,,4,colony-facility,colony,facility,"D: Search your scrap for a non-reflex card and add it to your hand, then discard a card.",
slikspitters,Slikspitters,cult-of-apsynthos,Cult of Apsynthos,2,1,4,dddd,4,unit-xeno,unit,xeno,"If this unit is in combat, the enemy unit is Slow (If this unit takes lethal combat damage, it does not deal damage in return.)",
spore-blossoms,Spore Blossoms,cult-of-apsynthos,Cult of Apsynthos,,,,,2,augment-unit,augment,unit,"This unit gains Consume (If this unit deals lethal combat damage, add one health from the defeated unit.)","Spores take root in battlefield casualties, turning bodies into blooms."
spore-mats,Spore Mats,cult-of-apsynthos,Cult of Apsynthos,,,,,4,colony-facility,colony,facility,D: Add a T to this facility from the Creche.,Mutation rates are within acceptable limits.
spore-slaves,Spore Slaves,cult-of-apsynthos,Cult of Apsynthos,2,0,3,ddd,2,unit-human,unit,human,"When this unit deals combat damage, you may scrap a health from it to have it deal the same damage to the next enemy unit.",Poachers start their careers harvesting the fungal sacs. They end their lives bursting from the inside.
spore-storm,Spore Storm,cult-of-apsynthos,Cult of Apsynthos,,,,,2,reflex,reflex,,Each unit in target lane gains +1 Attack. These units lose 1 health when this reflex is scrapped.,"The tiny scarlet spores dance in the air, and the mind begins to blossom."
stalk-tenders,Stalk Tenders,cult-of-apsynthos,Cult of Apsynthos,1,1,3,ddd,2,unit-xeno,unit,xeno,Add +1 D to your Citadel during your growth phase.,"Certainly diligent little things — are they the caretakers or the cattle?
 Ranna Myren, Promethea Probe Team"
unruly-husks,Unruly Husks,cult-of-apsynthos,Cult of Apsynthos,3,0,5,ddddd,3,unit-xeno,unit,xeno,Units in front of this one lose 1 health during your upkeep.,"Minds to mycelia, friends to food."
xeno-regeneration,Xeno Regeneration,cult-of-apsynthos,Cult of Apsynthos,,,,,1,reflex,reflex,,"You may immediately add health to any number of units, using citizens from your Citadel.",He lay into the warm embrace of the spore marsh and closed his eyes. He breathed deep and heard the song of the world.
xononeural-arcology,Xononeural Arcology,cult-of-apsynthos,Cult of Apsynthos,,,,,5,colony-facility,colony,facility,T: Gain T on this card for every unit you control.,An exponential shift in the neural net will accompany the fervor. We will finally be natives of Apsyntion.
apsynthos-cryopod,Apsynthos Cryopod,sovereign-dronestate,Dronestate,,,,,4,colony-facility,colony,facility,T➤ Add DD to your Citadel during your growth phase.,"Rare finds, these relics from the ark. Do we trust the sleepers we find inside?"
apsynthos-memorial,Apsynthos Memorial,sovereign-dronestate,Dronestate,,,,,4,colony-facility,colony,facility,"T➤ When you score an Echo, you may flip a D on target Citadel.","Twisted metal juts straight out of the ground like a rotten tooth - they say it’s a bit of the ark, a bit of our home."
calliope,Calliope,sovereign-dronestate,Dronestate,2,1,4,dddd,4,unit-antigrav,unit,antigrav,"Slow (If this unit takes lethal combat damage, it does not deal damage in return.)
Splash (When this unit deals combat damage, deal the same damage to the next enemy unit.)",
cantina,Cantina,sovereign-dronestate,Dronestate,,,,,3,colony-facility,colony,facility,D: Target opponent must tell you how many Echoes they have in their hand and Forge combined.,A stiff drink and a handful of stims is the path to a burgeoning friendship.
defection,Defection,sovereign-dronestate,Dronestate,,,,,3,reflex,reflex,,"Each faction must move one D from a unit they control to this reflex. When this reflex is scrapped, move the D on it to your Citadel.",
desperate-sacrifice,Desperate Sacrifice,sovereign-dronestate,Dronestate,,,,,1,reflex,reflex,,"Scrap a unit you control. Scrap health tokens equal to its Armor, divided among any number of units in one lane.",
detonation-packs,Detonation Packs,sovereign-dronestate,Dronestate,,,,,2,augment-unit,augment,unit,"When this unit resolves combat damage, it may add its Armor to its Attack value. If you do this, scrap one health.",
double-agent,Double Agent,sovereign-dronestate,Dronestate,,,,,2,augment-unit,augment,unit,"You retain control of this augment while it on an opponent’s unit. On your turn, you may look at this player’s hand or one card in their forge during your upkeep.",
drone-insurgents,Drone Insurgents,sovereign-dronestate,Dronestate,1,0,5,ddddd,3,unit-human,unit,human,"If this unit breaches a Faction, add the number of D on their Citadel to the breach value (up to the health of this unit).",
drone-riots,Drone Riots,sovereign-dronestate,Dronestate,,,,,2,reflex,reflex,,Target a facility. That player may choose to scrap the facility (scrapping all D) or scrap all T in their colony (minimum 1).,
dustmen,Dustmen,sovereign-dronestate,Dronestate,2,0,5,ddddd,3,unit-human,unit,human,"If this unit breaches a hand and you do not find an echo, you may add one of the revealed cards to your hand rather than discarding it.",
hive-radicals,Hive Radicals,sovereign-dronestate,Dronestate,1,0,1,d,3,unit-human,unit,human,"If this unit breaches a faction, you may take a D from the defending player’s Citadel and add it to this unit.
Squad (This unit gets +1 Attack for every health on it.)",
holonet-scribes,Holonet Scribes,sovereign-dronestate,Dronestate,1,1,3,ddd,2,unit-human,unit,human,"If this unit defends, you may flip a D on your Citadel at the end of combat.
If this unit breaches an opponent, you may look at an extra card.",Forget the pen. A scribe’s moxie is mightier.
infoleak,Infoleak,sovereign-dronestate,Dronestate,,,,,2,reflex,reflex,,All Factions play with their hands revealed. (Cards are still drawn randomly during a breach).,"“Tell your friend a lie. If he keeps it secret, then tell him the truth.”"
nano-plantations,Nano Plantations,sovereign-dronestate,Dronestate,,,,,4,colony-facility,colony,facility,D: Add 1 D to your Citadel from the Creche.,"This is the line between heresy and necessity.
-Inquisitor Marcus"
nerve-plates,Nerve Plates,sovereign-dronestate,Dronestate,,,,,2,augment-unit,augment,unit,This unit gains +1 Armor.,The armor doesn’t protect the flesh. It is the flesh.
plasma-torch,Plasma Torch,sovereign-dronestate,Dronestate,,,,,3,augment-unit,augment,unit,This unit gains Pierce (This unit ignores Armor when in combat.),
rail-sniper,Rail Sniper,sovereign-dronestate,Dronestate,1,1,1,d,4,unit-human,unit,human,"Cybernetic (This unit gains +1 Attack for every additional Cybernetic unit in play.)
Rail Sniper may scrap one health from a target unit at the beginning of your combat phase.",
recon-guerillas,Recon Guerillas,sovereign-dronestate,Dronestate,2,0,4,dddd,4,unit-human,unit,human,"Each time this unit deals combat damage, you may flip a citizen on it.
For every T on this unit, it gains +1 Attack and +1 Armor.",
refugee-ethics,Refugee Ethics,sovereign-dronestate,Dronestate,,,,,3,reflex,reflex,,"Target a faction. Remove all D from their Colony and distribute them evenly amongst all other Faction’s Citadels.
If there is an uneven number of D, extras return to the owner’s Citadel.",
sabotage,Sabotage,sovereign-dronestate,Dronestate,,,,,3,reflex,reflex,,"Target a card in any player’s Forge and reveal it. If it is an Echo, it remains in their Forge. If it is not an Echo, scrap that card and return the forge T to their Citadel.",
scrap-depot,Scrap Depot,sovereign-dronestate,Dronestate,,,,,3,colony-facility,colony,facility,"D: Return the bottom card of your scrap to your hand, then discard a card.",
sentinels,Sentinels,sovereign-dronestate,Dronestate,3,2,3,ddd,6,unit-mech,unit,mech,"Slow (If this unit takes lethal combat damage, it does not deal damage in return.)
",Old mechs. Sturdy mechs.
skimsquad,Skimsquad,sovereign-dronestate,Dronestate,0,1,3,ddd,6,unit-antigrav,unit,antigrav,"Airborne (Each airborne unit may move during your move phase)
Squad (This unit gets +1 Attack for every health on it.)",
splicing-medics,Splicing Medics,sovereign-dronestate,Dronestate,1,0,4,dddd,2,unit-human,unit,human,"Resilient (Restore one health from the Creche during your growth phase.)
You may add health from this unit to adjacent units during your upkeep.",
stitch-tanks,Stitch Tanks,sovereign-dronestate,Dronestate,,,,,4,colony-facility,colony,facility,T: Target unit adds 1 health from the Creche.,
undercity-anarchs,Undercity Anarchs,sovereign-dronestate,Dronestate,1,0,3,ddd,2,unit-human,unit,human,"You may remove a D from a target Citadel during your upkeep, and add it to this unit.","As you tighten your grip, we prosper"
watchdogs,Watchdogs,sovereign-dronestate,Dronestate,3,1,3,ddd,5,unit-mech,unit,mech,"If this unit is at the front of the lane, you may rearrange this lane freely before battle.",
webweave-spies,Webweave Spies,sovereign-dronestate,Dronestate,2,1,2,dd,3,unit-human,unit,human,"Cloak (When attacking, may ignore the first unit in the enemy lane. In a breach, this unit always uses its full Attack value.)",I don’t need to be a chimera to know what you’re hiding.
worker-strike,Worker Strike,sovereign-dronestate,Dronestate,,,,,2,augment-facility,augment,facility,"Any citizens who work this facility cannot be removed during your upkeep.
You may discard one health from any unit you control to scrap all citizens here and remove this augment.",
bull-ceph,Bull Ceph,coriolan-exiles,Coriolan Exiles,2,1,3,ddd,4,unit-xeno,unit,xeno,This unit gains +1 Attack for each unit behind it.,"Bull Ceph defend their herd, even if the herd is a huddle of terrified humans."
caravan-guards,Caravan Guards,coriolan-exiles,Coriolan Exiles,2,1,4,dddd,4,unit-xeno,unit,xeno,Units behind this one gain +1 Armor.,
duchess-of-ash,Duchess of Ash,coriolan-exiles,Coriolan Exiles,2,1,1,t,4,unit-human,unit,human,Units in this lane gain +1 to their breach value.,A melted throne makes fine bullets.
duelist,Duelist,coriolan-exiles,Coriolan Exiles,,,,,2,augment-unit,augment,unit,"If this unit is alone in its lane, it gains +2 Attack.",Discipline is the top of the food chain here.
field-medics,Field Medics,coriolan-exiles,Coriolan Exiles,1,1,3,ddd,2,unit-human,unit,human,Adjacent units restore one health from the Creche during your growth phase.,
flagbearers,Flagbearers,coriolan-exiles,Coriolan Exiles,1,1,3,ddd,3,unit-human,unit,human,Adjacent units gain +1 Attack.,"When Corioli burned, the city itself became a martyr."
frontier-despot,Frontier Despot,coriolan-exiles,Coriolan Exiles,1,1,1,t,2,unit-human,unit,human,"If this unit breaches and you find an Echo, you may look at an additional card. If it is also an Echo, repeat.",I’ll take that. And that too.
gardens-of-kadesh,Gardens of Kadesh,coriolan-exiles,Coriolan Exiles,,,,,4,colony-facility,colony,facility,You may place one W/U here from the Creche each time you score an Echo.,"Are these trees extinct if they can exist only within the shields? Could the same be said of our species?
-Remnant Sha Teng"
